"date","model","currency","level","species","aic"
2017-01-29,"Forecast","abundance","Controls","total",2354.01249585455
2017-01-29,"AutoArima","abundance","Controls","total",170.214461169686
2017-01-29,"NegBinom Time Series","abundance","Controls","BA",232.049244383755
2017-01-29,"NegBinom Time Series","abundance","Controls","DM",1310.89433984455
2017-01-29,"NegBinom Time Series","abundance","Controls","DO",872.742378482663
2017-01-29,"NegBinom Time Series","abundance","Controls","DS",146.025964861194
2017-01-29,"NegBinom Time Series","abundance","Controls","NA",167.34926910276
2017-01-29,"NegBinom Time Series","abundance","Controls","OL",383.847914367839
2017-01-29,"NegBinom Time Series","abundance","Controls","OT",837.760152737682
2017-01-29,"NegBinom Time Series","abundance","Controls","PB",663.182505767837
2017-01-29,"NegBinom Time Series","abundance","Controls","PE",300.983237386685
2017-01-29,"NegBinom Time Series","abundance","Controls","PF",509.203537052935
2017-01-29,"NegBinom Time Series","abundance","Controls","PH",1e+06
2017-01-29,"NegBinom Time Series","abundance","Controls","PL",39.9844086580108
2017-01-29,"NegBinom Time Series","abundance","Controls","PM",222.820219185422
2017-01-29,"NegBinom Time Series","abundance","Controls","PP",1376.31486347042
2017-01-29,"NegBinom Time Series","abundance","Controls","RF",1e+06
2017-01-29,"NegBinom Time Series","abundance","Controls","RM",311.772779063246
2017-01-29,"NegBinom Time Series","abundance","Controls","RO",30.7805798288389
2017-01-29,"NegBinom Time Series","abundance","Controls","SF",224.653669422142
2017-01-29,"NegBinom Time Series","abundance","Controls","SH",122.758712320654
2017-01-29,"NegBinom Time Series","abundance","Controls","SO",1e+06
2017-01-29,"NegBinom Time Series","abundance","Controls","total",1758.8316794567
2017-01-29,"Poisson Env","abundance","Controls","BA",288.587179663865
2017-01-29,"Poisson Env","abundance","Controls","DM",1307.12093187909
2017-01-29,"Poisson Env","abundance","Controls","DO",852.594706898764
2017-01-29,"Poisson Env","abundance","Controls","DS",157.470090135827
2017-01-29,"Poisson Env","abundance","Controls","NA",172.430984883687
2017-01-29,"Poisson Env","abundance","Controls","OL",385.7087355628
2017-01-29,"Poisson Env","abundance","Controls","OT",844.573479605429
2017-01-29,"Poisson Env","abundance","Controls","PB",875.051472225635
2017-01-29,"Poisson Env","abundance","Controls","PE",306.972001839822
2017-01-29,"Poisson Env","abundance","Controls","PF",551.377838340063
2017-01-29,"Poisson Env","abundance","Controls","PH",1e+06
2017-01-29,"Poisson Env","abundance","Controls","PL",37.7729545796731
2017-01-29,"Poisson Env","abundance","Controls","PM",269.37629736054
2017-01-29,"Poisson Env","abundance","Controls","PP",1731.03151008429
2017-01-29,"Poisson Env","abundance","Controls","RF",1e+06
2017-01-29,"Poisson Env","abundance","Controls","RM",1e+06
2017-01-29,"Poisson Env","abundance","Controls","RO",44.8879418522546
2017-01-29,"Poisson Env","abundance","Controls","SF",257.754586166043
2017-01-29,"Poisson Env","abundance","Controls","SH",141.248366300552
2017-01-29,"Poisson Env","abundance","Controls","SO",1e+06
2017-01-29,"Poisson Env","abundance","Controls","total",1933.79054511054
