"date","forecastmonth","forecastyear","newmoonnumber","currency","model","level","species","estimate","LowerPI","UpperPI"
2017-11-20,11,2017,500,"abundance","Forecast","Controls","total",211.73665121463,117.827732154673,305.645570274587
2017-11-20,12,2017,501,"abundance","Forecast","Controls","total",220.372148033639,89.1696835046635,351.574612562614
2017-11-20,1,2018,502,"abundance","Forecast","Controls","total",229.007644852647,65.5144139814402,392.500875723855
2017-11-20,2,2018,503,"abundance","Forecast","Controls","total",237.643141671656,44.1053866054387,431.180896737873
2017-11-20,3,2018,504,"abundance","Forecast","Controls","total",246.278638490665,23.8150885490159,468.742188432313
2017-11-20,4,2018,505,"abundance","Forecast","Controls","total",254.914135309673,4.05428987389703,505.77398074545
2017-11-20,5,2018,506,"abundance","Forecast","Controls","total",263.549632128682,-15.5307594620039,542.630023719368
2017-11-20,6,2018,507,"abundance","Forecast","Controls","total",272.18512894769,-35.1731195718886,579.54337746727
2017-11-20,7,2018,508,"abundance","Forecast","Controls","total",280.820625766699,-55.0372587291372,616.678510262535
2017-11-20,8,2018,509,"abundance","Forecast","Controls","total",289.456122585708,-75.2457173229926,654.157962494408
2017-11-20,9,2018,510,"abundance","Forecast","Controls","total",298.091619404716,-95.8939925933065,692.077231402739
2017-11-20,10,2018,511,"abundance","Forecast","Controls","total",306.727116223725,-117.05941562843,730.51364807588
